Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,GPA
1,24,Other,2nd Year,7.7,7.9,3.4,2,37,10,14:09:36,4:03:00,7.41,7.06,3.364002617
2,21,Male,1st Year,6.3,6,1.9,5,74,2,8:43:48,7:06:00,8.21,10.21,3.263801564
3,22,Male,4th Year,5.1,6.7,3.9,5,53,5,20:00:00,20:28:12,6.88,10.92,2.579126384
4,24,Other,4th Year,6.3,8.6,2.8,4,55,9,19:49:12,4:04:48,6.69,9.42,4.023438403
5,20,Male,4th Year,4.7,2.7,2.7,0,85,3,20:58:48,6:07:12,8.98,9.01,2.99037115
6,25,Other,1st Year,4.9,12,3.2,3,96,9,9:48:00,18:49:48,5.04,10.51,2.667284795
7,22,Female,2nd Year,6.5,11.7,3.4,1,99,6,13:03:00,20:57:36,8.58,10.81,2.521636017
8,22,Male,2nd Year,6.1,7.8,3,1,108,4,10:29:24,10:51:00,5.6,10.02,3.163084489
9,24,Female,1st Year,8.6,2.4,1.4,1,86,7,11:03:36,18:52:48,8.14,8.78,3.165244663
10,19,Other,2nd Year,5.8,8.2,2,3,44,8,14:39:00,5:18:36,7.47,9.37,2.439349704
11,20,Female,1st Year,6.9,0.9,3.8,5,108,6,7:46:12,14:49:48,6.37,9.8,2.879400907
12,24,Female,2nd Year,7.2,0.4,1.7,0,33,5,6:04:12,3:44:24,8.5,7.78,3.582571314
13,20,Other,3rd Year,4.1,3.1,2.1,3,8,6,21:41:24,10:41:24,5.05,8.79,2.730418194
14,20,Female,3rd Year,7.3,5.6,2.3,1,87,5,17:39:00,18:21:00,5.91,10.32,3.071777372
15,25,Female,4th Year,4.9,10.4,2.3,4,7,8,7:01:12,19:12:36,7.27,9.62,2.250882521
16,22,Other,3rd Year,8.8,8.7,2.8,2,6,1,13:52:48,10:28:12,6.41,8.64,2.953236547
17,21,Female,3rd Year,4.7,8.9,3.8,3,35,7,8:05:24,6:45:36,7.44,9.65,2.061389057
18,25,Other,3rd Year,6.1,5.1,1.7,3,17,10,14:42:36,6:22:12,5.1,7.47,3.288441733
19,25,Female,1st Year,4.4,4.2,1.4,0,2,10,13:47:24,16:28:48,5.47,8.61,2.263454216
20,20,Other,3rd Year,9,4.5,1.6,0,27,2,18:40:12,17:55:12,5.51,10.17,3.074364722
21,23,Other,3rd Year,6.5,11.9,3.7,3,69,9,34:48.0,21:39:36,5.76,7.88,3.867633831
22,22,Female,4th Year,7,0.5,2.9,1,107,1,17:24.0,8:25:12,6.84,7.74,2.965194745
23,19,Female,3rd Year,4.3,10.4,1.9,2,43,10,12:54:00,20:28:12,8.01,10.8,2.260131477
24,25,Female,3rd Year,7.7,6.9,3.4,0,20,6,5:44:24,34:48.0,8.62,7.84,2.787458557
25,21,Male,2nd Year,5,5.3,3.6,1,27,9,4:06:00,9:58:12,8.34,8.04,2.277826836
26,23,Male,4th Year,8.5,8.7,3.5,4,103,1,10:37:48,3:15:36,5.79,10.88,3.141900649
27,23,Male,4th Year,5,5.8,3.8,0,53,4,6:04:48,15:45:36,6.76,9.94,2.520696764
28,19,Other,4th Year,5,10.5,1.8,1,53,4,15:33:36,17:00:00,5.8,9.8,2.310271745
29,25,Female,4th Year,4.2,10.8,3.3,1,64,9,17:24.0,8:55:12,6.06,10.41,1.543652848
30,21,Other,4th Year,6.4,5.1,2.4,2,99,5,7:01:48,9:37:12,7.01,7.46,3.157147569
31,22,Male,4th Year,6.8,3.3,3.5,2,20,5,13:53:24,15:21:36,5.27,9.82,3.862432199
32,18,Female,1st Year,4.3,7.1,3.2,4,106,6,9:38:24,3:26:24,5.87,9.01,2.372469242
33,21,Other,3rd Year,7.9,10.9,3.3,1,98,1,18:06:36,5:06:00,8.74,10.32,3.756717058
34,19,Female,4th Year,6.3,2.5,3,5,12,1,9:24:00,17:31:12,6.86,9.03,3.223121253
35,23,Other,3rd Year,6.6,7.5,1.5,1,56,9,3:54:36,17:13:12,6.78,9.48,3.108393943
36,22,Female,3rd Year,6.2,7.6,2.6,2,48,3,3:45:36,11:45:00,5.06,8.91,3.79888005
